284,,,,,,,,,,,
ID,Name,Time,Location,Window,Price,Sweet,Hot,Kind,Waiting_Time,Score,History,Token
1,原味米线,2,A2,1,8,1,2,6,3,3,0,0
2,杂菌米线,2,A2,1,11,1,2,6,3,3,0,0
3,肥牛米线,2,A2,1,12.5,1,2,6,3,3,0,0
4,鸡块米线,2,A2,1,12,1,2,6,3,3,0,0
5,羊肉米线,2,A2,1,12.5,1,2,6,3,3,0,0
6,砂锅豆腐,2,A2,1,8,1,2,6,3,3,0,0
7,砂锅方便面,2,A2,1,8,1,2,3,3,3,0,0
8,排骨米线,2,A2,1,12,1,2,6,3,3,0,0
9,酱肉米线,2,A2,1,12,1,2,6,3,3,0,0
10,鸭肉米线,2,A2,1,12,1,2,6,3,3,0,0
11,杂菌砂锅面,2,A2,1,9,1,2,3,3,3,0,0
12,肥牛砂锅面,2,A2,1,12,1,2,3,3,3,0,0
13,鸡块砂锅面,2,A2,1,10,1,2,3,3,3,0,0
14,羊肉砂锅面,2,A2,1,12,1,2,3,3,3,0,0
15,牛肉砂锅面,2,A2,1,12,1,2,3,3,3,0,0
16,原味砂锅面,2,A2,1,8,1,2,3,3,3,0,0
17,排骨砂锅面,2,A2,1,12,1,2,3,3,3,0,0
18,酱肉砂锅面,2,A2,1,10,1,2,3,3,3,0,0
19,鸡肉砂锅面,2,A2,1,10,1,2,3,3,3,0,0
20,原味酸辣粉,2,A2,1,8,1,2,6,3,3,0,0
21,肥牛酸辣粉,2,A2,1,12,1,2,6,3,3,0,0
22,鸡块酸辣粉,2,A2,1,10,1,2,6,3,3,0,0
23,羊肉酸辣粉,2,A2,1,12,1,2,6,3,3,0,0
24,杂菌酸辣粉,2,A2,1,9,1,2,6,3,3,0,0
25,排骨酸辣粉,2,A2,1,12,1,2,6,3,3,0,0
26,酱肉酸辣粉,2,A2,1,10,1,2,6,3,3,0,0
27,鸭肉酸辣粉,2,A2,1,10,1,2,6,3,3,0,0
28,黄焖鸡米饭（大分）,2,A2,2,12,1,2,2,3,3,0,0
29,黄焖鸡米饭（小分）,2,A2,2,10,1,2,2,3,3,0,0
30,黄焖火锅丸,2,A2,2,8,1,2,2,3,3,0,0
31,黄焖茄条,2,A2,2,8,1,2,2,3,3,0,0
32,羊肉汤（大碗）,2,A2,3,13.5,1,1,6,3,3,0,0
33,羊肉汤（小碗）,2,A2,3,10,1,1,6,3,3,0,0
34,羊杂汤（大碗）,2,A2,3,11,1,1,6,3,3,0,0
35,羊杂汤（小碗）,2,A2,3,8,1,1,6,3,3,0,0
36,羊头汤（大碗）,2,A2,3,13.5,1,1,6,3,3,0,0
37,羊头汤（小碗）,2,A2,3,10,1,1,6,3,3,0,0
38,羊肚汤（大碗）,2,A2,3,13.5,1,1,6,3,3,0,0
39,羊肚汤（小碗）,2,A2,3,10,1,1,6,3,3,0,0
40,羊肠汤（大碗）,2,A2,3,13.5,1,1,6,3,3,0,0
41,羊肠汤（小碗）,2,A2,3,10,1,1,6,3,3,0,0
42,瘦肉小笼包,2,A2,4,6,1,1,5,3,3,0,0
43,瘦肉蒸饺,2,A2,4,6,1,1,5,3,3,0,0
44,牛肉水饺系列,2,A2,5,~10.5,1,1,5,3,3,0,0
45,羊肉水饺系列,2,A2,5,~10.5,1,1,5,3,3,0,0
46,猪肉水饺系列,2,A2,5,~9,1,1,5,3,3,0,0
47,素馅水饺系列,2,A2,5,~7.5,1,1,5,3,3,0,0
48,速冻水饺系列,2,A2,5,~6,1,1,5,3,3,0,0
49,高汤麻辣烫,2,A2,6,~12,1,3,6,3,3,0,0
50,鸡汤鲜肉馄饨,2,A3,0,10,1,2,5,3,3,0,0
51,鸡汤鲜肉玉米馄饨,2,A3,0,10,1,2,5,3,3,0,0
52,鲜肉韭菜水饺,2,A3,0,14,1,2,5,3,3,0,0
53,鲜肉茴香水饺,2,A3,0,14,1,2,5,3,3,0,0
54,鲜肉大葱水饺,2,A3,0,14,1,2,5,3,3,0,0
55,鲜肉芹菜水饺,2,A3,0,14,1,2,5,3,3,0,0
56,鲜肉白菜水饺,2,A3,0,14,1,2,5,3,3,0,0
57,鲜肉玉米水饺,2,A3,0,14,1,2,5,3,3,0,0
58,酸汤鲜肉水饺,2,A3,0,14,1,2,5,3,3,0,0
59,麻麻鸡（小份）,2,A3,0,13.5,1,3,2,3,3,0,0
60,麻麻鸡（双人套餐）,2,A3,0,21,1,3,2,3,3,0,0
61,手工粉,2,A3,0,11,1,3,6,3,3,0,0
62,汉堡套餐一,2,A3,0,12.5,1,1,4,3,3,0,0
63,汉堡套餐二,2,A3,0,13.5,1,1,4,3,3,0,0
64,汉堡套餐三,2,A3,0,15,1,1,4,3,3,0,0
65,汉堡套餐四,2,A3,0,18.5,1,1,4,3,3,0,0
66,汉堡套餐五,2,A3,0,20,1,1,4,3,3,0,0
67,汉堡套餐六,2,A3,0,23.5,1,1,4,3,3,0,0
68,汉堡优惠一,2,A3,0,12.5,1,1,4,3,3,0,0
69,汉堡优惠二,2,A3,0,11.5,1,1,4,3,3,0,0
70,汉堡优惠三,2,A3,0,12.5,1,1,4,3,3,0,0
71,汉堡优惠四,2,A3,0,17,1,1,4,3,3,0,0
72,汉堡优惠五,2,A3,0,19.5,1,1,4,3,3,0,0
73,汉堡优惠六,2,A3,0,15,1,1,4,3,3,0,0
74,巴西烤香鸡饭,2,A3,1,12.5,1,2,2,3,3,0,0
75,湖南小炒肉饭,2,A3,1,12.5,1,2,2,3,3,0,0
76,鸡扒拼卤肉饭,2,A3,1,13.5,1,2,2,3,3,0,0
77,鸡扒拼茄子饭,2,A3,1,12,1,2,2,3,3,0,0
78,茄子拼卤肉饭,2,A3,1,12.5,1,2,2,3,3,0,0
79,黑椒里脊饭,2,A3,1,12.5,1,2,2,3,3,0,0
80,港式叉烧饭,2,A3,1,13.5,1,2,2,3,3,0,0
81,梅菜烧肉饭,2,A3,1,12.5,1,2,2,3,3,0,0
82,招牌卤肉饭,2,A3,1,14,1,2,2,3,3,0,0
83,黑椒鸡扒饭,2,A3,1,12.5,1,2,2,3,3,0,0
84,鱼香鸡蛋盖饭,2,A3,2,10,1,2,2,3,3,0,0
85,地三鲜盖饭,2,A3,2,10,1,2,2,3,3,0,0
86,鱼香茄子盖饭,2,A3,2,10,1,2,2,3,3,0,0
87,红烧茄子盖饭,2,A3,2,10,1,2,2,3,3,0,0
88,剁椒火腿鸡蛋盖饭,2,A3,2,11,1,2,2,3,3,0,0
89,红烧日本豆腐盖饭,2,A3,2,11,1,2,2,3,3,0,0
90,三鲜日本豆腐盖饭,2,A3,2,11,1,2,2,3,3,0,0
91,脆皮日本豆腐盖饭,2,A3,2,11,1,2,2,3,3,0,0
92,宫保鸡丁盖饭,2,A3,2,11,1,2,2,3,3,0,0
93,糊辣肉丝盖饭,2,A3,2,12,1,2,2,3,3,0,0
94,肉沫辣三鲜盖饭,2,A3,2,12,1,2,2,3,3,0,0
95,香辣肉丝盖饭,2,A3,2,12,1,2,2,3,3,0,0
96,小炒鸡丁盖饭,2,A3,2,12,1,2,2,3,3,0,0
97,松香肉丝盖饭,2,A3,2,12,1,2,2,3,3,0,0
98,肉丝豆角茄子盖饭,2,A3,2,12,1,2,2,3,3,0,0
99,风味茄子鸡丁盖饭,2,A3,2,12,1,2,2,3,3,0,0
100,宫保茄子鸡丁盖饭,2,A3,2,12,1,2,2,3,3,0,0
101,京酱肉丝盖饭,2,A3,2,12,1,2,2,3,3,0,0
102,蒙古烤肉饭,2,A3,2,12,1,2,2,3,3,0,0
103,孜然鸡柳盖饭,2,A3,2,12,1,2,2,3,3,0,0
104,香辣鸡柳盖饭,2,A3,2,12,1,2,2,3,3,0,0
105,鱼香鸡腿条盖饭,2,A3,2,12,1,2,2,3,3,0,0
106,台式鸡腿饭,2,A3,2,12,1,2,2,3,3,0,0
107,香菇滑鸡饭,2,A3,2,12,1,2,2,3,3,0,0
108,葱爆牛肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
109,招牌牛肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
110,杏鲍菇牛肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
111,剁椒肥牛饭,2,A3,2,12.5,1,2,2,3,3,0,0
112,茄子红烧肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
113,台湾卤肉饭,2,A3,2,12.5,1,2,2,3,3,0,0
114,台式牛柳饭,2,A3,2,12.5,1,2,2,3,3,0,0
115,杭椒牛柳饭,2,A3,2,12.5,1,2,2,3,3,0,0
116,干煸牛柳饭,2,A3,2,12.5,1,2,2,3,3,0,0
117,孜然里脊饭,2,A3,2,12.5,1,2,2,3,3,0,0
118,毛豆童子鸡盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
119,滑蛋牛肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
120,毛豆红烧肉盖饭,2,A3,2,12.5,1,2,2,3,3,0,0
121,红烧排骨饭,2,A3,2,12.5,1,2,2,3,3,0,0
